Timestamp,Event Type,Assigned Spot
2025-08-19 10:54:24,ARRIVAL,1:24
2025-08-19 10:54:25,EXIT,1:24
2025-08-19 10:54:26,ARRIVAL,1:21
2025-08-19 10:54:27,ARRIVAL,1:50
2025-08-19 10:54:28,ARRIVAL,1:32
2025-08-19 10:54:29,ARRIVAL,1:10
2025-08-19 10:54:30,ARRIVAL,1:9
2025-08-19 10:54:31,ARRIVAL,1:42
2025-08-19 10:54:32,EXIT,1:10
2025-08-19 10:54:33,ARRIVAL,2:44
2025-08-19 10:54:34,ARRIVAL,1:37
2025-08-19 10:54:35,ARRIVAL,3:1
2025-08-19 10:54:36,ARRIVAL,2:42
2025-08-19 10:54:37,EXIT,3:1
2025-08-19 10:54:38,ARRIVAL,2:26
2025-08-19 10:54:39,ARRIVAL,3:34
2025-08-19 10:54:40,EXIT,2:42
2025-08-19 10:54:41,ARRIVAL,2:42
2025-08-19 10:54:42,ARRIVAL,2:16
2025-08-19 10:54:45,ARRIVAL,2:29
2025-08-19 10:54:45,ARRIVAL,3:32
2025-08-19 10:54:45,ARRIVAL,3:22
2025-08-19 10:54:46,ARRIVAL,1:35
2025-08-19 10:54:47,EXIT,1:32
2025-08-19 10:54:48,ARRIVAL,1:14
2025-08-19 10:54:49,ARRIVAL,3:39
2025-08-19 10:54:50,ARRIVAL,3:7
2025-08-19 10:54:51,ARRIVAL,1:48
2025-08-19 10:54:52,ARRIVAL,3:9
2025-08-19 10:54:53,ARRIVAL,2:25
2025-08-19 10:54:54,ARRIVAL,3:37
2025-08-19 10:54:55,ARRIVAL,1:39
2025-08-19 10:54:56,ARRIVAL,1:30
2025-08-19 10:54:57,ARRIVAL,2:4
2025-08-19 10:54:58,ARRIVAL,1:17
2025-08-19 10:54:59,ARRIVAL,2:9
2025-08-19 10:55:00,ARRIVAL,2:39
2025-08-19 10:55:01,ARRIVAL,2:3
2025-08-19 10:55:02,ARRIVAL,2:14
2025-08-19 10:55:03,ARRIVAL,3:29
2025-08-19 10:55:04,ARRIVAL,3:44
2025-08-19 10:55:05,EXIT,3:22
2025-08-19 10:55:06,ARRIVAL,1:32
2025-08-19 10:55:07,ARRIVAL,2:31
2025-08-19 10:55:08,ARRIVAL,3:50
2025-08-19 10:55:09,ARRIVAL,1:6
2025-08-19 10:55:10,ARRIVAL,3:14
2025-08-19 10:55:11,ARRIVAL,1:1
