Timestamp,Event Type,Assigned Spot
2025-08-27 08:12:55,ARRIVAL,2:37
2025-08-27 08:12:56,ARRIVAL,2:26
2025-08-27 08:12:57,EXIT,2:37
2025-08-27 08:12:58,ARRIVAL,1:43
2025-08-27 08:12:59,ARRIVAL,1:26
2025-08-27 08:13:00,ARRIVAL,1:42
2025-08-27 08:13:01,ARRIVAL,1:24
2025-08-27 08:13:02,ARRIVAL,1:34
2025-08-27 08:13:03,EXIT,1:34
2025-08-27 08:13:04,EXIT,2:26
2025-08-27 08:13:05,ARRIVAL,3:27
2025-08-27 08:13:06,ARRIVAL,1:28
2025-08-27 08:13:07,ARRIVAL,2:6
2025-08-27 08:13:08,EXIT,1:28
2025-08-27 08:13:09,ARRIVAL,1:17
2025-08-27 08:13:10,ARRIVAL,2:50
2025-08-27 08:13:11,EXIT,1:42
2025-08-27 08:13:12,ARRIVAL,1:47
2025-08-27 08:13:13,ARRIVAL,2:37
2025-08-27 08:13:14,ARRIVAL,2:18
2025-08-27 08:13:15,ARRIVAL,2:22
2025-08-27 08:13:16,ARRIVAL,3:49
2025-08-27 08:13:17,ARRIVAL,3:39
2025-08-27 08:13:18,ARRIVAL,2:13
2025-08-27 08:13:19,ARRIVAL,3:16
2025-08-27 08:13:20,ARRIVAL,1:1
2025-08-27 08:13:21,EXIT,1:17
2025-08-27 08:13:22,ARRIVAL,3:4
2025-08-27 08:13:23,ARRIVAL,3:10
2025-08-27 08:13:24,ARRIVAL,3:37
2025-08-27 08:13:25,ARRIVAL,3:9
2025-08-27 08:13:26,EXIT,1:26
2025-08-27 08:13:27,EXIT,3:39
2025-08-27 08:13:28,ARRIVAL,2:31
2025-08-27 08:13:29,ARRIVAL,2:48
2025-08-27 08:13:30,EXIT,3:49
2025-08-27 08:13:31,ARRIVAL,1:28
2025-08-27 08:13:32,ARRIVAL,2:41
2025-08-27 08:13:33,ARRIVAL,1:10
2025-08-27 08:13:34,ARRIVAL,1:50
2025-08-27 08:13:35,ARRIVAL,1:38
2025-08-27 08:13:36,ARRIVAL,1:48
2025-08-27 08:13:37,ARRIVAL,2:1
2025-08-27 08:13:38,ARRIVAL,1:45
2025-08-27 08:13:39,ARRIVAL,2:17
2025-08-27 08:13:40,ARRIVAL,3:11
2025-08-27 08:13:41,EXIT,3:27
2025-08-27 08:13:42,ARRIVAL,3:8
2025-08-27 08:13:43,ARRIVAL,3:41
2025-08-27 08:13:44,EXIT,2:6
2025-08-27 08:13:45,ARRIVAL,3:35
2025-08-27 08:13:46,ARRIVAL,3:34
2025-08-27 08:13:47,EXIT,1:38
2025-08-27 08:13:49,ARRIVAL,1:6
2025-08-27 08:13:49,ARRIVAL,3:19
2025-08-27 08:13:50,ARRIVAL,3:24
2025-08-27 08:13:51,ARRIVAL,3:45
2025-08-27 08:13:54,ARRIVAL,2:45
2025-08-27 08:13:54,ARRIVAL,3:25
2025-08-27 08:13:54,ARRIVAL,1:9
2025-08-27 08:13:55,ARRIVAL,1:36
2025-08-27 08:13:56,ARRIVAL,1:14
2025-08-27 08:13:57,EXIT,3:4
2025-08-27 08:13:58,EXIT,1:47
2025-08-27 08:13:59,ARRIVAL,1:19
2025-08-27 08:14:00,EXIT,3:35
2025-08-27 08:14:01,ARRIVAL,1:25
2025-08-27 08:14:02,ARRIVAL,2:10
2025-08-27 08:14:03,ARRIVAL,2:16
2025-08-27 08:14:04,ARRIVAL,3:1
2025-08-27 08:14:05,EXIT,3:25
2025-08-27 08:14:06,ARRIVAL,2:39
2025-08-27 08:14:07,ARRIVAL,2:42
2025-08-27 08:14:08,ARRIVAL,3:5
2025-08-27 08:14:09,EXIT,3:34
2025-08-27 08:14:10,ARRIVAL,3:6
2025-08-27 08:14:11,ARRIVAL,2:9
2025-08-27 08:14:12,ARRIVAL,1:39
2025-08-27 08:14:13,ARRIVAL,3:21
2025-08-27 08:14:14,ARRIVAL,3:49
2025-08-27 08:14:15,ARRIVAL,1:11
2025-08-27 08:14:16,ARRIVAL,1:4
2025-08-27 08:14:17,ARRIVAL,3:15
2025-08-27 08:14:18,EXIT,3:15
2025-08-27 08:14:19,ARRIVAL,2:43
2025-08-27 08:14:20,ARRIVAL,1:40
2025-08-27 08:14:21,ARRIVAL,1:37
2025-08-27 08:14:22,EXIT,2:13
2025-08-27 08:14:23,EXIT,1:43
2025-08-27 08:14:24,ARRIVAL,1:26
2025-08-27 08:14:25,ARRIVAL,1:20
2025-08-27 08:14:26,ARRIVAL,2:4
2025-08-27 08:14:27,ARRIVAL,2:2
2025-08-27 08:14:28,ARRIVAL,3:32
2025-08-27 08:14:29,ARRIVAL,2:24
2025-08-27 08:14:30,ARRIVAL,3:23
2025-08-27 08:14:31,ARRIVAL,3:34
2025-08-27 08:14:32,ARRIVAL,3:40
2025-08-27 08:14:33,ARRIVAL,3:30
2025-08-27 08:14:34,ARRIVAL,1:34
2025-08-27 08:14:35,ARRIVAL,3:22
2025-08-27 08:14:36,ARRIVAL,1:32
2025-08-27 08:14:37,EXIT,1:19
2025-08-27 08:14:38,ARRIVAL,2:34
2025-08-27 08:14:39,ARRIVAL,2:8
2025-08-27 08:14:40,ARRIVAL,3:26
2025-08-27 08:14:41,EXIT,2:37
2025-08-27 08:14:42,ARRIVAL,2:13
2025-08-27 08:14:43,ARRIVAL,1:43
2025-08-27 08:14:44,EXIT,1:37
2025-08-27 08:14:45,ARRIVAL,2:29
2025-08-27 08:14:46,ARRIVAL,3:46
2025-08-27 08:14:47,ARRIVAL,2:19
2025-08-27 08:14:48,ARRIVAL,2:40
2025-08-27 08:14:49,ARRIVAL,1:27
2025-08-27 08:14:50,ARRIVAL,1:12
2025-08-27 08:14:51,ARRIVAL,1:7
2025-08-27 08:14:52,ARRIVAL,1:8
2025-08-27 08:14:53,ARRIVAL,3:44
2025-08-27 08:14:54,ARRIVAL,3:50
2025-08-27 08:14:55,ARRIVAL,1:49
2025-08-27 08:14:56,ARRIVAL,3:31
2025-08-27 08:14:57,ARRIVAL,1:17
2025-08-27 08:14:58,ARRIVAL,2:6
2025-08-27 08:14:59,EXIT,3:23
2025-08-27 08:15:00,EXIT,2:4
2025-08-27 08:15:01,ARRIVAL,3:15
2025-08-27 08:15:02,ARRIVAL,2:36
2025-08-27 08:15:03,ARRIVAL,2:23
2025-08-27 08:15:04,ARRIVAL,2:5
2025-08-27 08:15:05,ARRIVAL,2:37
2025-08-27 08:15:06,ARRIVAL,2:4
2025-08-27 08:15:07,ARRIVAL,2:25
2025-08-27 08:15:09,ARRIVAL,3:28
2025-08-27 08:15:09,EXIT,2:6
2025-08-27 08:15:10,ARRIVAL,1:13
2025-08-27 08:15:11,ARRIVAL,2:30
2025-08-27 08:15:14,ARRIVAL,3:36
2025-08-27 08:15:14,ARRIVAL,3:47
2025-08-27 08:15:14,EXIT,2:10
2025-08-27 08:15:15,EXIT,2:30
2025-08-27 08:15:16,ARRIVAL,2:46
2025-08-27 08:15:17,ARRIVAL,1:16
2025-08-27 08:15:18,ARRIVAL,2:14
2025-08-27 08:15:19,ARRIVAL,3:39
2025-08-27 08:15:20,ARRIVAL,1:35
2025-08-27 08:15:21,ARRIVAL,2:7
2025-08-27 08:15:22,ARRIVAL,2:47
2025-08-27 08:15:23,ARRIVAL,3:27
2025-08-27 08:15:24,ARRIVAL,2:3
2025-08-27 08:15:25,ARRIVAL,3:13
2025-08-27 08:15:26,ARRIVAL,2:49
2025-08-27 08:15:27,ARRIVAL,1:30
2025-08-27 08:15:28,ARRIVAL,1:42
2025-08-27 08:15:29,EXIT,1:14
2025-08-27 08:15:30,EXIT,1:39
2025-08-27 08:15:31,EXIT,1:12
2025-08-27 08:15:32,ARRIVAL,1:12
2025-08-27 08:15:33,ARRIVAL,3:42
2025-08-27 08:15:34,ARRIVAL,1:41
2025-08-27 08:15:35,ARRIVAL,1:44
2025-08-27 08:15:36,ARRIVAL,3:17
2025-08-27 08:15:37,EXIT,1:17
2025-08-27 08:15:38,ARRIVAL,1:47
2025-08-27 08:15:39,ARRIVAL,3:25
2025-08-27 08:15:40,ARRIVAL,3:18
2025-08-27 08:15:41,ARRIVAL,1:39
2025-08-27 08:15:42,ARRIVAL,1:29
2025-08-27 08:15:43,ARRIVAL,1:5
2025-08-27 08:15:44,ARRIVAL,2:30
2025-08-27 08:15:45,ARRIVAL,1:23
2025-08-27 08:15:46,EXIT,3:10
2025-08-27 08:15:47,ARRIVAL,3:2
2025-08-27 08:15:48,ARRIVAL,2:20
2025-08-27 08:15:49,EXIT,3:17
2025-08-27 08:15:50,ARRIVAL,3:4
2025-08-27 08:15:51,EXIT,3:19
2025-08-27 08:15:52,ARRIVAL,3:3
2025-08-27 08:15:53,ARRIVAL,2:27
2025-08-27 08:15:54,ARRIVAL,3:38
2025-08-27 08:15:55,EXIT,2:16
2025-08-27 08:15:56,EXIT,1:4
2025-08-27 08:15:57,ARRIVAL,3:14
2025-08-27 08:15:58,ARRIVAL,3:48
2025-08-27 08:15:59,ARRIVAL,3:33
2025-08-27 08:16:00,EXIT,2:20
2025-08-27 08:16:01,ARRIVAL,1:21
2025-08-27 08:16:02,EXIT,2:37
2025-08-27 08:16:03,EXIT,2:45
2025-08-27 08:16:04,ARRIVAL,3:12
2025-08-27 08:16:05,ARRIVAL,1:22
2025-08-27 08:16:06,ARRIVAL,3:19
2025-08-27 08:16:07,ARRIVAL,1:17
2025-08-27 08:16:08,EXIT,1:50
2025-08-27 08:16:09,EXIT,3:50
2025-08-27 08:16:10,EXIT,3:28
2025-08-27 08:16:11,ARRIVAL,2:10
2025-08-27 08:16:12,ARRIVAL,2:21
2025-08-27 08:16:13,ARRIVAL,3:35
2025-08-27 08:16:14,EXIT,2:14
2025-08-27 08:16:15,ARRIVAL,2:35
2025-08-27 08:16:16,ARRIVAL,1:4
2025-08-27 08:16:17,ARRIVAL,1:19
2025-08-27 08:16:18,EXIT,1:16
2025-08-27 08:16:19,EXIT,2:29
2025-08-27 08:16:20,EXIT,1:44
2025-08-27 08:16:21,ARRIVAL,3:29
2025-08-27 08:16:22,EXIT,3:30
2025-08-27 08:16:23,EXIT,3:27
2025-08-27 08:16:24,EXIT,1:45
2025-08-27 08:16:25,EXIT,3:5
2025-08-27 08:16:26,ARRIVAL,2:11
2025-08-27 08:16:27,EXIT,1:8
2025-08-27 08:16:29,EXIT,1:29
2025-08-27 08:16:29,EXIT,2:39
2025-08-27 08:16:30,EXIT,1:12
2025-08-27 08:16:31,EXIT,3:33
2025-08-27 08:16:34,ARRIVAL,1:2
2025-08-27 08:16:34,EXIT,1:32
2025-08-27 08:16:34,EXIT,2:8
2025-08-27 08:16:35,EXIT,1:20
2025-08-27 08:16:36,ARRIVAL,1:14
2025-08-27 08:16:37,ARRIVAL,1:12
2025-08-27 08:16:38,EXIT,2:35
2025-08-27 08:16:39,ARRIVAL,1:37
2025-08-27 08:16:40,ARRIVAL,2:32
2025-08-27 08:16:41,EXIT,3:3
2025-08-27 08:16:42,ARRIVAL,2:20
2025-08-27 08:16:43,EXIT,3:8
2025-08-27 08:16:44,EXIT,1:42
2025-08-27 08:16:45,EXIT,3:9
2025-08-27 08:16:46,ARRIVAL,1:31
2025-08-27 08:16:47,ARRIVAL,2:37
2025-08-27 08:16:48,ARRIVAL,3:28
2025-08-27 08:16:49,EXIT,1:19
2025-08-27 08:16:50,EXIT,3:11
2025-08-27 08:16:51,ARRIVAL,1:20
2025-08-27 08:16:52,EXIT,2:21
2025-08-27 08:16:53,EXIT,1:30
2025-08-27 08:16:54,ARRIVAL,3:3
2025-08-27 08:16:55,EXIT,1:49
2025-08-27 08:16:56,ARRIVAL,2:26
2025-08-27 08:16:57,EXIT,1:28
2025-08-27 08:16:58,EXIT,2:7
2025-08-27 08:16:59,EXIT,3:31
2025-08-27 08:17:00,ARRIVAL,1:15
2025-08-27 08:17:01,ARRIVAL,1:29
2025-08-27 08:17:02,EXIT,1:41
2025-08-27 08:17:03,EXIT,1:21
2025-08-27 08:17:04,ARRIVAL,1:30
2025-08-27 08:17:05,EXIT,1:12
2025-08-27 08:17:06,EXIT,1:9
2025-08-27 08:17:07,EXIT,1:40
2025-08-27 08:17:08,EXIT,3:24
2025-08-27 08:17:09,ARRIVAL,1:40
2025-08-27 08:17:10,ARRIVAL,1:45
2025-08-27 08:17:11,ARRIVAL,1:42
2025-08-27 08:17:12,EXIT,3:19
2025-08-27 08:17:13,ARRIVAL,1:49
2025-08-27 08:17:14,EXIT,2:31
2025-08-27 08:17:15,EXIT,2:47
2025-08-27 08:17:16,EXIT,3:4
2025-08-27 08:17:17,EXIT,1:43
2025-08-27 08:17:18,EXIT,1:27
2025-08-27 08:17:19,EXIT,3:2
2025-08-27 08:17:20,EXIT,2:49
2025-08-27 08:17:21,ARRIVAL,1:21
2025-08-27 08:17:22,ARRIVAL,2:38
2025-08-27 08:17:23,EXIT,3:47
2025-08-27 08:17:24,ARRIVAL,1:43
2025-08-27 08:17:25,ARRIVAL,1:41
2025-08-27 08:17:26,ARRIVAL,2:35
2025-08-27 08:17:27,ARRIVAL,3:43
2025-08-27 08:17:28,EXIT,1:40
2025-08-27 08:17:29,EXIT,2:17
2025-08-27 08:17:30,EXIT,2:41
2025-08-27 08:17:31,ARRIVAL,1:32
2025-08-27 08:17:32,EXIT,1:22
2025-08-27 08:17:33,ARRIVAL,1:9
2025-08-27 08:17:34,ARRIVAL,3:23
2025-08-27 08:17:35,ARRIVAL,2:39
2025-08-27 08:17:36,ARRIVAL,2:47
2025-08-27 08:17:37,EXIT,1:34
2025-08-27 08:17:38,ARRIVAL,1:27
2025-08-27 08:17:39,ARRIVAL,2:15
2025-08-27 08:17:40,ARRIVAL,2:31
2025-08-27 08:17:41,EXIT,2:22
2025-08-27 08:17:42,ARRIVAL,3:33
2025-08-27 08:17:43,ARRIVAL,3:11
2025-08-27 08:17:44,EXIT,3:25
2025-08-27 08:17:45,ARRIVAL,3:25
2025-08-27 08:17:46,EXIT,1:1
2025-08-27 08:17:47,EXIT,2:34
